CustomerID,Card Member,Age,Annual Income,Spending Score (1-100)
1,1,19.0,15000,39.0
2,1,21.0,15000,81.0
3,0,20.0,16000,6.0
4,0,23.0,16000,77.0
5,0,31.0,17000,40.0
6,0,22.0,17000,76.0
7,0,35.0,18000,6.0
8,0,23.0,18000,94.0
9,1,64.0,19000,3.0
10,0,30.0,19000,72.0
11,1,67.0,19000,14.0
12,0,35.0,19000,99.0
13,0,58.0,20000,15.0
14,0,24.0,20000,77.0
16,1,37.0,20000,13.0
17,1,22.0,20000,79.0
18,0,35.0,21000,35.0
19,1,20.0,21000,66.0
20,1,52.0,23000,29.0
21,0,35.0,23000,98.0
22,1,35.0,24000,35.0
23,1,25.0,24000,73.0
24,0,46.0,25000,5.0
25,1,31.0,25000,73.0
26,0,54.0,28000,14.0
27,1,29.0,28000,82.0
28,0,45.0,28000,32.0
29,1,35.0,28000,61.0
30,0,40.0,29000,31.0
31,0,23.0,29000,87.0
33,1,60.0,30000,4.0
34,0,21.0,30000,73.0
35,1,53.0,33000,4.0
36,1,18.0,33000,92.0
37,0,49.0,33000,14.0
38,0,21.0,33000,81.0
39,0,42.0,34000,17.0
40,0,30.0,34000,73.0
41,0,36.0,37000,26.0
42,0,20.0,37000,75.0
43,0,65.0,38000,35.0
44,1,24.0,38000,92.0
45,1,48.0,39000,36.0
46,0,31.0,39000,61.0
47,0,49.0,39000,28.0
48,0,24.0,39000,65.0
49,0,50.0,40000,55.0
50,0,27.0,40000,47.0
51,0,29.0,40000,42.0
52,0,31.0,40000,42.0
53,0,49.0,42000,52.0
54,1,33.0,42000,60.0
55,0,31.0,43000,54.0
56,1,59.0,43000,60.0
57,0,50.0,43000,45.0
58,1,47.0,43000,41.0
59,0,51.0,44000,50.0
60,1,69.0,44000,46.0
61,0,27.0,46000,51.0
62,1,53.0,46000,46.0
63,1,70.0,46000,56.0
64,1,19.0,46000,55.0
65,0,67.0,47000,52.0
66,0,54.0,47000,59.0
67,1,63.0,48000,51.0
68,1,18.0,48000,59.0
69,0,43.0,48000,50.0
70,0,68.0,48000,48.0
71,1,19.0,48000,59.0
72,0,32.0,48000,47.0
73,1,70.0,49000,55.0
74,0,47.0,49000,42.0
75,0,60.0,50000,49.0
76,0,60.0,50000,56.0
77,1,59.0,54000,47.0
78,1,26.0,54000,54.0
79,0,45.0,54000,53.0
80,1,40.0,54000,48.0
81,0,23.0,54000,52.0
82,0,49.0,54000,42.0
83,1,57.0,54000,51.0
84,1,38.0,54000,55.0
85,1,67.0,54000,41.0
86,0,46.0,54000,44.0
87,0,21.0,54000,57.0
88,1,48.0,54000,46.0
89,0,55.0,57000,58.0
90,0,22.0,57000,55.0
91,0,34.0,58000,60.0
92,0,50.0,58000,46.0
93,0,68.0,59000,55.0
94,1,18.0,59000,41.0
95,1,48.0,60000,49.0
96,0,40.0,60000,40.0
97,0,32.0,60000,42.0
98,1,24.0,60000,52.0
99,0,47.0,60000,47.0
100,0,27.0,60000,50.0
101,1,48.0,61000,42.0
102,1,20.0,61000,49.0
103,0,23.0,62000,41.0
104,0,49.0,62000,48.0
105,1,67.0,62000,59.0
106,1,26.0,62000,55.0
107,1,49.0,62000,56.0
108,0,21.0,62000,42.0
109,0,66.0,63000,50.0
110,1,54.0,63000,46.0
111,1,68.0,63000,43.0
112,1,66.0,63000,48.0
113,1,65.0,63000,52.0
114,0,19.0,63000,54.0
115,0,38.0,64000,42.0
116,1,19.0,64000,46.0
117,0,18.0,65000,48.0
118,0,19.0,65000,50.0
119,0,63.0,65000,43.0
120,0,49.0,65000,59.0
121,0,51.0,67000,43.0
122,0,50.0,67000,57.0
123,1,27.0,67000,56.0
124,0,38.0,67000,40.0
125,0,40.0,69000,58.0
126,1,39.0,69000,91.0
127,0,23.0,70000,29.0
128,0,31.0,70000,77.0
129,1,43.0,71000,35.0
130,1,40.0,71000,95.0
131,1,59.0,71000,11.0
132,1,38.0,71000,75.0
133,1,47.0,71000,9.0
134,1,39.0,71000,75.0
135,0,25.0,72000,34.0
136,0,31.0,72000,71.0
137,1,20.0,73000,5.0
138,0,29.0,73000,88.0
139,0,44.0,73000,7.0
140,1,32.0,73000,73.0
141,1,19.0,74000,10.0
142,0,35.0,74000,72.0
143,0,57.0,75000,5.0
144,1,32.0,75000,93.0
145,0,28.0,76000,40.0
146,0,32.0,76000,87.0
147,1,25.0,77000,12.0
148,1,28.0,77000,97.0
149,1,48.0,77000,36.0
150,0,32.0,77000,74.0
151,0,34.0,78000,22.0
152,1,34.0,78000,90.0
153,1,43.0,78000,17.0
154,1,39.0,78000,88.0
155,0,44.0,78000,20.0
156,0,38.0,78000,76.0
157,0,47.0,78000,16.0
158,0,27.0,78000,89.0
159,1,37.0,78000,1.0
160,0,30.0,78000,78.0
161,1,34.0,78000,1.0
162,0,30.0,78000,73.0
163,0,56.0,79000,35.0
164,0,29.0,79000,83.0
165,1,19.0,81000,5.0
166,0,31.0,81000,93.0
167,1,50.0,85000,26.0
168,0,36.0,85000,75.0
169,1,42.0,86000,20.0
170,0,33.0,86000,95.0
171,0,36.0,87000,27.0
172,1,32.0,87000,63.0
173,1,40.0,87000,13.0
174,1,28.0,87000,75.0
175,1,36.0,87000,10.0
176,1,36.0,87000,92.0
178,0,52.0,88000,13.0
179,0,30.0,88000,86.0
180,1,58.0,88000,15.0
181,1,27.0,88000,69.0
182,1,59.0,93000,14.0
183,1,35.0,93000,90.0
184,0,37.0,97000,32.0
185,0,32.0,97000,86.0
186,1,46.0,98000,15.0
187,0,29.0,98000,88.0
188,0,41.0,99000,39.0
189,1,30.0,99000,97.0
190,0,54.0,101000,24.0
191,1,28.0,101000,68.0
192,0,41.0,103000,17.0
193,0,36.0,103000,85.0
194,0,34.0,103000,23.0
195,0,32.0,103000,69.0
196,1,33.0,113000,8.0
197,0,38.0,113000,91.0
198,0,47.0,120000,16.0
199,0,35.0,120000,79.0
200,0,45.0,126000,28.0
201,1,32.0,126000,74.0
202,1,32.0,137000,18.0
203,1,30.0,137000,83.0
